Date,Club,Trou,Par,Score,Putts,Fairway touchǸ,GIR
03/09/2025,Club de golf royal d'Ostende,1,4,5,2,Non,Non
03/09/2025,Club de golf royal d'Ostende,2,5,7,1,Non,Non
03/09/2025,Club de golf royal d'Ostende,3,3,3,2,N/A,Oui
03/09/2025,Club de golf royal d'Ostende,4,4,4,1,Non,Non
03/09/2025,Club de golf royal d'Ostende,5,4,6,2,Non,Non
03/09/2025,Club de golf royal d'Ostende,6,3,4,2,N/A,Non
03/09/2025,Club de golf royal d'Ostende,7,5,5,2,Non,Oui
03/09/2025,Club de golf royal d'Ostende,8,3,6,2,N/A,Non
03/09/2025,Club de golf royal d'Ostende,9,4,3,1,Oui,Oui
03/09/2025,Club de golf royal d'Ostende,10,4,4,2,Oui,Oui
03/09/2025,Club de golf royal d'Ostende,11,3,3,2,N/A,Oui
03/09/2025,Club de golf royal d'Ostende,12,4,4,2,Oui,Oui
03/09/2025,Club de golf royal d'Ostende,13,3,3,2,N/A,Oui
03/09/2025,Club de golf royal d'Ostende,14,5,4,2,Oui,Oui
03/09/2025,Club de golf royal d'Ostende,15,4,4,3,Oui,Oui
03/09/2025,Club de golf royal d'Ostende,16,4,6,2,Oui,Non
03/09/2025,Club de golf royal d'Ostende,17,3,4,1,N/A,Non
03/09/2025,Club de golf royal d'Ostende,18,5,4,1,Oui,Oui
3 septembre 2025,Club de golf royal D'Ostende,1,4,5,2,Non,Non
3 septembre 2025,Club de golf royal D'Ostende,2,5,7,1,Non,Non
3 septembre 2025,Club de golf royal D'Ostende,3,3,3,2,N/A,Oui
3 septembre 2025,Club de golf royal D'Ostende,4,4,4,1,Non,Non
3 septembre 2025,Club de golf royal D'Ostende,5,4,6,2,Non,Non
3 septembre 2025,Club de golf royal D'Ostende,6,3,4,2,N/A,Non
3 septembre 2025,Club de golf royal D'Ostende,7,5,5,2,Non,Oui
3 septembre 2025,Club de golf royal D'Ostende,8,3,6,2,N/A,Non
3 septembre 2025,Club de golf royal D'Ostende,9,4,3,1,Oui,Oui
3 septembre 2025,Club de golf royal D'Ostende,10,4,4,2,Oui,Oui
3 septembre 2025,Club de golf royal D'Ostende,11,3,3,2,N/A,Oui
3 septembre 2025,Club de golf royal D'Ostende,12,4,4,2,Oui,Oui
3 septembre 2025,Club de golf royal D'Ostende,13,3,3,2,N/A,Oui
3 septembre 2025,Club de golf royal D'Ostende,14,5,4,2,Oui,Oui
3 septembre 2025,Club de golf royal D'Ostende,15,4,4,3,Oui,Oui
3 septembre 2025,Club de golf royal D'Ostende,16,4,6,2,Oui,Non
